12 Methods  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 100

Method                    Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
---------------------------------------------------------------------------
RePaint r=10                 0.0978     0.0485   0.0226   0.2608          6.74
RePaint r=1                  0.1062     0.0511   0.0353   0.2948          0.65
DPS z=0.5                    0.1221     0.0566   0.0142   0.3304          2.48
DPS z=0.04                   0.0583     0.0256   0.0210   0.1439          2.53
RD r=1 z=0.5                 0.1319     0.0575   0.0205   0.3254          2.58
RD r=1 z=0.04                0.0611     0.0259   0.0208   0.1342          2.59
DDIM eta=0                   0.1241     0.0567   0.0421   0.3380          0.73
DDIM eta=1                   0.1046     0.0462   0.0411   0.3069          0.65
DDIM+DPS e0 z=0.5            0.1725     0.0615   0.0711   0.3909          2.01
DDIM+DPS e0 z=0.04           0.0665     0.0248   0.0195   0.1610          2.00
DDIM+DPS e1 z=0.5            0.1184     0.0561   0.0164   0.3406          2.01
DDIM+DPS e1 z=0.04           0.0569     0.0257   0.0138   0.1637          2.00

Per-seed breakdown:
    Seed   idx  RePaint r=      t  RePaint r=      t   DPS z=0.5      t  DPS z=0.04      t  RD r=1 z=0      t  RD r=1 z=0      t  DDIM eta=0      t  DDIM eta=1      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t
     427   427      0.2009    6.8      0.2114    0.7      0.0792    2.1      0.0346    2.3      0.1073    2.6      0.0566    2.7      0.0756    0.7      0.1045    0.7      0.0883    2.0      0.0508    2.0      0.0520    2.0      0.0450    2.0
     434   434      0.0496    6.7      0.0950    0.6      0.0946    2.4      0.0404    2.6      0.1035    2.6      0.0318    2.6      0.1501    0.8      0.1083    0.6      0.1560    2.1      0.0489    2.0      0.0561    2.1      0.0333    2.0
     441   441      0.1146    6.8      0.0575    0.7      0.1332    2.6      0.0523    2.4      0.1180    2.6      0.0607    2.6      0.1213    0.7      0.0861    0.6      0.1525    2.0      0.0768    2.0      0.1659    2.1      0.0738    2.0
     448   448      0.0668    6.8      0.0970    0.6      0.1230    2.5      0.0539    2.5      0.1465    2.6      0.0303    2.6      0.2262    0.8      0.0782    0.6      0.2743    2.0      0.0915    2.0      0.1342    1.9      0.0468    1.9
     455   455      0.0828    6.8      0.0720    0.7      0.0915    2.5      0.0539    2.6      0.0968    2.6      0.0841    2.6      0.0746    0.7      0.0968    0.7      0.1534    2.1      0.0503    2.1      0.1214    2.0      0.0650    2.1
     462   462      0.1091    6.7      0.0641    0.6      0.1455    2.5      0.0709    2.5      0.1698    2.6      0.0717    2.5      0.1676    0.7      0.0731    0.6      0.2136    2.0      0.0499    1.9      0.1822    1.9      0.0933    2.0
     469   469      0.0608    6.8      0.1633    0.7      0.1389    2.5      0.0850    2.5      0.2350    2.5      0.0994    2.6      0.1868    0.7      0.1041    0.7      0.1660    2.0      0.0933    2.0      0.1849    2.0      0.0774    2.0
     476   476      0.1263    6.6      0.0858    0.6      0.1234    2.5      0.0646    2.5      0.1154    2.5      0.0692    2.6      0.0548    0.8      0.0655    0.7      0.1240    2.0      0.0855    2.0      0.0630    2.1      0.0629    2.0
     483   483      0.0939    6.9      0.0757    0.7      0.1213    2.5      0.0773    2.5      0.1061    2.6      0.0902    2.6      0.1148    0.7      0.0974    0.7      0.1357    2.0      0.1290    2.0      0.0890    1.9      0.0981    2.0
     490   490      0.0932    6.7      0.0816    0.7      0.1677    2.6      0.0432    2.6      0.1678    2.5      0.0420    2.7      0.1530    0.7      0.1338    0.7      0.2238    2.0      0.1002    2.0      0.1652    2.0      0.0500    2.0
     497   497      0.2120    6.8      0.2257    0.7      0.1303    2.5      0.0989    2.5      0.1760    2.6      0.1336    2.6      0.0571    0.8      0.1559    0.7      0.0957    2.0      0.0786    2.0      0.1619    2.0      0.0838    2.0
     504   504      0.1028    6.8      0.1710    0.7      0.1815    2.5      0.0429    2.5      0.1866    2.6      0.0439    2.6      0.0891    0.7      0.1016    0.6      0.2663    2.0      0.0678    2.0      0.1099    2.0      0.0442    2.1
     511   511      0.0937    6.6      0.0689    0.7      0.1517    2.5      0.0820    2.7      0.1806    2.5      0.0600    2.6      0.0548    0.7      0.0773    0.7      0.1665    2.0      0.0791    2.0      0.1513    2.1      0.0802    2.0
     518   518      0.0429    6.8      0.1175    0.7      0.2383    2.5      0.0401    2.6      0.2355    2.5      0.0306    2.6      0.1330    0.7      0.0772    0.7      0.2121    2.0      0.0647    2.0      0.1812    2.1      0.0313    2.0
     525   525      0.0550    6.9      0.1240    0.7      0.0951    2.6      0.0434    2.5      0.0771    2.5      0.0448    2.6      0.1488    0.8      0.0457    0.7      0.0795    1.9      0.0548    2.0      0.0635    2.0      0.0313    2.1
     532   532      0.0648    6.9      0.0928    0.6      0.1376    2.4      0.0612    2.5      0.1632    2.6      0.0660    2.6      0.0990    0.7      0.0817    0.7      0.2729    2.1      0.0739    2.0      0.1906    2.1      0.0426    2.1
     539   539      0.1492    6.9      0.0841    0.7      0.2064    2.4      0.0469    2.5      0.0865    2.5      0.0417    2.6      0.1297    0.8      0.2319    0.7      0.1384    2.0      0.0467    2.0      0.1049    2.0      0.0762    2.1
     546   546      0.0718    6.9      0.1740    0.7      0.1373    2.5      0.0547    2.5      0.3033    2.6      0.0327    2.5      0.1227    0.7      0.0855    0.7      0.1743    2.0      0.0659    2.0      0.0690    2.0      0.0498    1.8
     553   553      0.1508    6.8      0.2910    0.7      0.1665    2.1      0.0449    2.5      0.0964    2.6      0.1248    2.6      0.1549    0.7      0.1137    0.6      0.1961    2.0      0.0621    2.0      0.1106    2.0      0.0603    1.9
     560   560      0.0746    6.7      0.0950    0.6      0.1370    2.4      0.0548    2.5      0.1485    2.6      0.0690    2.6      0.0688    0.7      0.1085    0.6      0.2690    2.0      0.0749    2.0      0.1013    2.0      0.0522    2.0
     567   567      0.0846    7.0      0.0850    0.7      0.1466    2.5      0.0603    2.5      0.1572    2.6      0.0729    2.6      0.1438    0.7      0.0582    0.7      0.3267    2.0      0.0816    2.0      0.2442    2.1      0.0691    2.0
     574   574      0.1534    6.9      0.1754    0.7      0.1004    2.5      0.0438    2.5      0.1118    2.6      0.0707    2.7      0.2001    0.7      0.2039    0.7      0.1597    1.6      0.0599    1.7      0.1226    2.0      0.0442    2.1
     581   581      0.1241    6.7      0.1512    0.7      0.0829    2.5      0.1436    2.6      0.1861    2.5      0.0531    2.5      0.1428    0.7      0.1125    0.7      0.1240    2.0      0.1043    2.0      0.1072    2.0      0.1352    2.1
