epoch,timestamp_utc,train_loss,val_loss
369,2026-06-11T23:43:47.445632+00:00,0.0028790394,0.0057290683
370,2026-06-11T23:44:56.707050+00:00,0.0028047252,0.0056012535
371,2026-06-11T23:46:05.950357+00:00,0.0029631178,0.0051756625
372,2026-06-11T23:47:15.317716+00:00,0.0029495447,0.0057257116
373,2026-06-11T23:48:24.541028+00:00,0.0028486675,0.0061050420
374,2026-06-11T23:49:33.847897+00:00,0.0027454173,0.0055063076
375,2026-06-11T23:50:43.063907+00:00,0.0029338457,0.0055231130
376,2026-06-11T23:51:52.298305+00:00,0.0027598501,0.0056784709
377,2026-06-11T23:53:01.675405+00:00,0.0028136209,0.0053679875
378,2026-06-11T23:54:10.936879+00:00,0.0031479531,0.0055162638
379,2026-06-11T23:55:20.305533+00:00,0.0027673034,0.0058454848
380,2026-06-11T23:56:29.571064+00:00,0.0027413126,0.0054395517
381,2026-06-11T23:57:38.745047+00:00,0.0030971972,0.0058325309
382,2026-06-11T23:58:48.089823+00:00,0.0027257093,0.0054946505
383,2026-06-11T23:59:57.382116+00:00,0.0028203845,0.0055013931
